"tf.blind","z.total","multiplied.mean","cond.exp"
0.0215405653948012,0.41,0.0124754752825421,0.030427988494005
0.0232497142881804,0.659,0.0188141118935101,0.028549486940076
0.0399300046927244,0.655,0.035681061422705,0.0544749029354274
0.0417493152169034,0.989,0.0416917468472808,0.0421554568728826
0.0252788067207944,0.72,0.0217397702195255,0.0301941253048965
0.024856846800578,0.844,0.0237266262093925,0.0281121163618395
0.0213622138501032,0.542,0.01477615663335,0.0272622816113468
0.0413282062810923,0.995,0.0413083369186775,0.0415159165011834
0.0417780044579395,0.982,0.0417251207780952,0.0424899396925613
0.0267792429069673,0.375,0.0129477751557185,0.0345274004152494
0.0265357686745201,0.573,0.0167382856877174,0.0292116678668715
0.0232364833288924,0.386,0.0112496511494273,0.0291441739622468
0.0331375331061921,0.18,0.00479036449800631,0.026613136100035
0.0305906962922674,0.803,0.0275941530839678,0.0343638270036959
0.0246541552901257,0.866,0.0235497303611954,0.0271936840198562
0.0331538160497612,0.706,0.0287715347462388,0.0407528820768255
0.057612914998569,0.888,0.0564148197313259,0.0635302024001418
0.0313672221281658,0.623,0.0239867811182088,0.0385020563695165
0.0270199715244332,0.63,0.0210652580988962,0.0334369176172955
0.025619612244429,0.929,0.0252794375894717,0.0272114505807016
0.0351003462837571,0.932,0.0347351884882695,0.0372695155453535
0.028679893172746,0.646,0.0225934248113746,0.0349743418132734
0.0430546254897075,0.989,0.043008080796247,0.0434864315432224
0.0276561039626525,0.248,0.00801358098846019,0.0323128265663718
